date,vix,BI,close,pos,neg,seg
2019-11-30,,-0.5108256237659907,,3.0,3.0,"美國,非球體,公室"
2019-12-01,,-0.12783337150988489,,17.0,27.0,"美國,經濟,違反板規"
2019-12-02,14.44,0.28768207245178085,4606.24,18.0,22.0,".%,億元,美國"
2019-12-03,14.08,0.07410797215372182,4600.59,13.0,12.0,"美國,經濟,市場"
2019-12-04,14.32,-0.20479441264601328,4599.14,25.0,21.0,"收購,公開,空屋"
2019-12-05,13.49,0.4212134650763035,4618.23,30.0,21.0,"銀行,台灣,機制"
2019-12-06,13.03,0.036367644170874784,4611.05,26.0,27.0,"美國,u3000,.%"
2019-12-07,,0.5108256237659907,,8.0,14.0,"銀行,國儲,能源"
2019-12-08,,0.9162907318741552,,10.0,9.0,"北大方正,億元,經濟"
2019-12-09,13.57,0.10536051565782636,4584.79,17.0,19.0,"市場,銀行,.%"
2019-12-10,14.11,-0.6190392084062235,4581.2,17.0,22.0,"銀行,中國,億元"
2019-12-11,13.43,0.6690496289808848,4555.43,26.0,31.0,"中國,.%,市場"
2019-12-12,13.9,0.6931471805599453,4477.93,35.0,31.0,".%,中國,市場"
2019-12-13,14.35,0.048790164169432035,4398.63,44.0,36.0,"美國,協議,投資"
2019-12-14,,0.27193371548364176,,17.0,17.0,"美國,中國,投資"
2019-12-15,,0.0,,10.0,19.0,"台灣,中國,協議"
2019-12-16,14.21,0.6325225587435105,4403.94,20.0,26.0,"美國,中國,市場"
2019-12-17,14.22,0.6131044728864089,4418.74,38.0,32.0,"台積,中國,市場"
2019-12-18,14.6,0.08701137698962969,4387.44,21.0,21.0,"u3000,減持,歷史"
2019-12-19,14.51,-0.17589066646366416,4381.51,23.0,32.0,"台灣,美國,韓國"
2019-12-20,14.19,-0.2006706954621511,4430.61,17.0,21.0,"u3000,投資,市場"
2019-12-21,,0.4054651081081644,,6.0,12.0,"企業,億元,債券"
2019-12-22,,0.0,,16.0,12.0,"空屋,台北,投資"
2019-12-23,14.47,0.4769240720903094,4428.65,18.0,25.0,".%,美國,銀行"
2019-12-24,14.41,0.125163142954006,4418.82,10.0,20.0,"億元,市場,投資"
2019-12-25,14.14,0.3053816495511819,4427.44,13.0,17.0,"機器人,台灣,中國"
2019-12-26,14.25,0.13353139262452254,4427.88,19.0,24.0,"億元,因為,中鋼"
2019-12-27,14.04,0.5436154465889816,4434.76,28.0,19.0,"市場,.%,中國"
2019-12-28,,-0.1226023220923324,,16.0,31.0,"經濟,中國,美國"
2019-12-29,,-0.5465437063680699,,13.0,14.0,"舉債,預算,特別"
2019-12-30,14.43,0.659245628884264,4431.39,25.0,16.0,"中國,經濟,投資"
2019-12-31,14.71,0.0,4460.87,14.0,26.0,"市場,投資,u3000"
2020-01-01,,1.8458266904983307,,11.0,8.0,".-.,經濟,中國"
2020-01-02,14.32,0.3136575588550416,4492.87,25.0,18.0,"u3000,銀行,中國"
2020-01-03,14.81,0.0,4456.08,27.0,15.0,"市場,美國,攻擊"
2020-01-04,,0.3184537311185346,,14.0,3.0,"醫院,美國,武漢市"
2020-01-05,,0.06899287148695142,,13.0,12.0,"美國,廣明,億元"
2020-01-06,15.04,-0.2231435513142097,4443.81,19.0,24.0,"美國,中國,.%"
2020-01-07,14.34,0.322773392263051,4393.74,30.0,17.0,"u3000,.%,伊朗"
2020-01-08,15.24,0.44468582126144574,4337.23,33.0,29.0,"u3000,美國,伊朗"
2020-01-09,13.02,0.3302416868705768,4352.9,35.0,18.0,"億元,.%,伊朗"
2020-01-10,12.98,0.3364722366212129,4365.12,24.0,22.0,"u3000,億元,.%"
2020-01-11,,0.07410797215372182,,11.0,13.0,"技術,中國,周轉"
2020-01-12,,0.6505875661411494,,14.0,16.0,"市場,工資,違反板規"
2020-01-13,11.26,0.1910552367627092,4378.91,24.0,17.0,"無人,資料,企業"
2020-01-14,11.64,0.9694005571881036,4376.61,20.0,18.0,"成長,台灣,市場"
2020-01-15,11.86,-0.1823215567939546,4387.38,19.0,23.0,"美國,中國,貿易"
2020-01-16,11.94,-0.7503055943998941,4381.99,25.0,26.0,"美國,中國,協議"
2020-01-17,11.92,0.4795730802618863,4361.8,18.0,14.0,".%,.%.%,美國"
2020-01-18,,-0.0953101798043249,,15.0,4.0,"台積,荷蘭,市場"
2020-01-19,,0.6931471805599453,,14.0,12.0,"市場,武漢,投資"
2020-01-20,12.57,0.05406722127027578,4365.88,18.0,17.0,"中國,美國,---"
2020-01-21,,-0.3184537311185346,,11.0,24.0,"中國,武漢,台灣"
2020-01-22,,-0.4924764850977941,,11.0,16.0,"台灣,武漢,美國"
2020-01-23,,-0.30010459245033816,,20.0,23.0,"武漢,疫情,中國"
2020-01-24,,-0.15415067982725836,,10.0,14.0,"武漢,中國,疫情"
2020-01-25,,0.10536051565782636,,5.0,11.0,"武漢,中國,肺炎"
2020-01-26,,-0.4855078157817008,,5.0,14.0,"武漢,病毒,中國"
2020-01-27,,-0.4353180712578455,,9.0,17.0,"中國,疫情,口罩"
2020-01-28,,-0.16251892949777494,,11.0,25.0,"中國,台灣,台股"
2020-01-29,,0.2559333741372007,,20.0,31.0,"u3000,武漢,疫情"
2020-01-30,19.81,-0.2429461786103895,4160.99,36.0,51.0,"中國,台灣,武漢"
2020-01-31,19.15,-0.5877866649021191,4134.63,25.0,43.0,"中國,武漢,口罩"
2020-02-01,,-0.20479441264601328,,22.0,24.0,"中國,武漢,口罩"
2020-02-02,,-0.6931471805599453,,25.0,30.0,"武漢,疫情,中國"
2020-02-03,20.26,-0.3536400402435783,4058.66,28.0,50.0,"中國,疫情,武漢"
2020-02-04,18.76,0.2702903297399117,4123.16,31.0,34.0,"中國,疫情,武漢"
2020-02-05,18.65,-0.2876820724517809,4175.26,31.0,37.0,"中國,武漢,疫情"
2020-02-06,17.96,0.025317807984289783,4170.26,38.0,38.0,"中國,.%,疫情"
2020-02-07,18.78,-0.05715841383994864,4140.39,33.0,32.0,"u3000,.%,中國"
2020-02-08,,0.13976194237515865,,18.0,22.0,"疫情,中國,武漢"
2020-02-09,,-0.2231435513142097,,23.0,28.0,"中國,疫情,口罩"
